,Stars,URL
0,5.2k,https://github.com/topics/jekyll-themes/Huxpro/huxpro.github.io/stargazers
1,2.5k,https://github.com/topics/jekyll-themes/daattali/beautiful-jekyll/stargazers
2,1.7k,https://github.com/topics/jekyll-themes/jekyll/minima/stargazers
3,1.2k,https://github.com/topics/jekyll-themes/sharu725/online-cv/stargazers
4,1.2k,https://github.com/topics/jekyll-themes/kitian616/jekyll-TeXt-theme/stargazers
5,890,https://github.com/topics/jekyll-themes/mzlogin/mzlogin.github.io/stargazers
6,844,https://github.com/topics/jekyll-themes/kaeyleo/jekyll-theme-H2O/stargazers
7,782,https://github.com/topics/jekyll-themes/jarrekk/Jalpc/stargazers
8,707,https://github.com/topics/jekyll-themes/renyuanz/leonids/stargazers
9,647,https://github.com/topics/jekyll-themes/huangyz0918/moving/stargazers
10,625,https://github.com/topics/jekyll-themes/rohanchandra/type-theme/stargazers
11,584,https://github.com/topics/jekyll-themes/nrandecker/particle/stargazers
12,565,https://github.com/topics/jekyll-themes/andrewbanchich/forty-jekyll-theme/stargazers
13,549,https://github.com/topics/jekyll-themes/wowthemesnet/mediumish-theme-jekyll/stargazers
14,523,https://github.com/topics/jekyll-themes/joshgerdes/jekyll-uno/stargazers
15,468,https://github.com/topics/jekyll-themes/brianmaierjr/long-haul/stargazers
16,393,https://github.com/topics/jekyll-themes/artemsheludko/flexible-jekyll/stargazers
17,366,https://github.com/topics/jekyll-themes/fongandrew/hydeout/stargazers
18,341,https://github.com/topics/jekyll-themes/willianjusten/will-jekyll-template/stargazers
19,285,https://github.com/topics/jekyll-themes/willianjusten/cards-jekyll-template/stargazers
20,280,https://github.com/topics/jekyll-themes/chrisbobbe/jekyll-theme-prologue/stargazers
21,267,https://github.com/topics/jekyll-themes/janczizikow/sleek/stargazers
22,263,https://github.com/topics/jekyll-themes/csinva/csinva.github.io/stargazers
23,239,https://github.com/topics/jekyll-themes/wowthemesnet/mundana-theme-jekyll/stargazers
24,225,https://github.com/topics/jekyll-themes/sharu725/hagura/stargazers
25,220,https://github.com/topics/jekyll-themes/gdgmanagua/jekyll-mdl/stargazers
26,182,https://github.com/topics/jekyll-themes/vinitkumar/white-paper/stargazers
27,173,https://github.com/topics/jekyll-themes/LeNPaul/Millennial/stargazers
28,165,https://github.com/topics/jekyll-themes/excentris/compass/stargazers
29,161,https://github.com/topics/jekyll-themes/coogie/oscailte/stargazers
